Observation,P0,P1
1,0.39,0.18
2,0.48,0.85
3,0.31,0.13
4,0.36,0.16
5,0.4,0.19
6,0.18,0.34
7,0.69,0.31
8,0.23,0.11
9,0.41,0.1
10,0.36,0.76
11,0.21,0.39
12,0.27,0.75
13,0.31,0.2
14,0.43,0.87
15,0.11,0.45
16,0.3,0.3
17,0.16,0.33
18,0.1,0.49
19,0.35,0.21
20,0.57,0.26
21,0.13,0.94
22,0.22,0.09
23,0.25,0.67
24,0.74,0.44
25,0.3,0.04
26,0.42,0.51
27,0.58,0.74
28,0.14,0.31
29,0.55,0.12
30,0.76,0.59
31,0.07,0.37
32,0.2,0.2
33,0.77,0.6
34,0.37,0.09
35,0.29,0.79
36,0.16,0.85
37,0.52,0.1
38,0.43,0.83
39,0.28,0.74
40,0.44,0.69
41,0.29,0.27
42,0.11,0.47
43,0.18,0.36
44,0.81,0.66
45,0.27,0.36
46,0.36,0.21
47,0.41,0.81
48,0.22,0.13
49,0.29,0.2
50,0.82,0.29
51,0.31,0.17
52,0.43,0.65
53,0.35,0.19
54,0.43,0.17
55,0.25,0.15
56,0.2,0.75
57,0.38,0.6
58,0.33,0.13
59,0.3,0.26
60,0.6,0.16
61,0.21,0.62
62,0.14,0.13
63,0.23,0.15
64,0.3,0.12
65,0.24,0.83
66,0.24,0.11
67,0.38,0.68
68,0.36,0.8
69,0.29,0.05
70,0.36,0.18
71,0.51,0.68
72,0.38,0.92
73,0.28,0.12
74,0.49,0.16
75,0.42,0.8
76,0.45,0.19
77,0.22,0.1
78,0.52,0.25
79,0.25,0.08
80,0.35,0.11
81,0.1,0.5
82,0.04,0.1
83,0.32,0.86
84,0.41,0.24
85,0.33,0.07
86,0.36,0.8
87,0.46,0.81
88,0.08,0.46
89,0.21,0.2
90,0.05,0.33
91,0.72,0.54
92,0.26,0.11
93,0.64,0.2
94,0.54,0.76
95,0.24,0.07
96,0.23,0.11
97,0.32,0.15
98,0.3,0.86
99,0.4,0.05
100,0.26,0.2
101,0.32,0.71
102,0.36,0.79
103,0.11,0.49
104,0.21,0.32
105,0.81,0.57
106,0.22,0.04
107,0.24,0.79
108,0.55,0.82
109,0.63,0.69
110,0.52,0.88
111,0.09,0.83
112,0.51,0.83
113,0.46,0.06
114,0.35,0.14
115,0.4,0.14
116,0.47,0.14
117,0.48,0.75
118,0.39,0.23
119,0.3,0.81
120,0.53,0.12
121,0.62,0.84
122,0.38,0.85
123,0.13,0.04
124,0.4,0.83
125,0.33,0.06
126,0.38,0.79
127,0.46,0.19
128,0.34,0.91
129,0.44,0.84
130,0.26,0.16
131,0.4,0.1
132,0.48,0.73
133,0.35,0.75
134,0.29,0.02
135,0.43,0.87
136,0.58,0.06
137,0.21,0.12
138,0.32,0.81
139,0.53,0.89
140,0.35,0.23
141,0.36,0.94
142,0.36,0.72
143,0.21,0.7
144,0.21,0.21
145,0.3,0.25
146,0.39,0.13
147,0.19,0.91
148,0.09,0.15
149,0.28,0.09
150,0.52,0.75
151,0.31,0.16
152,0.5,0.18
153,0.26,0.07
154,0.5,0.17
155,0.32,0.87
156,0.3,0.76
157,0.33,0.92
158,0.29,0.93
159,0.43,0.23
160,0.48,0.12
161,0.45,0.8
162,0.34,0.08
163,0.31,0.26
164,0.33,0.77
165,0.39,0.84
166,0.67,0.13
167,0.39,0.12
168,0.78,0.24
169,0.72,0.23
170,0.75,0.24
171,0.64,0.14
172,0.19,0.22
173,0.27,0.32
174,0.84,0.59
175,0.19,0.56
176,0.84,0.42
177,0.09,0.68
178,0.16,0.4
179,0.17,0.78
180,0.08,0.82
181,0.13,0.67
182,0.12,0.54
183,0.75,0.56
184,0.23,0.22
185,0.7,0.36
186,0.74,0.45
187,0.15,0.42
188,0.22,0.06
189,0.05,0.79
190,0.11,0.43
191,0.79,0.29
192,0.13,0.38
193,0.06,0.12
194,0.41,0.87
195,0.33,0.8
196,0.25,0.94
197,0.13,0.85
198,0.6,0.74
199,0.24,0.12
200,0.37,0.04
201,0.4,0.11
202,0.53,0.79
203,0.41,0.13
204,0.22,0.23
205,0.37,0.16
206,0.54,0.85
207,0.19,0.76
208,0.44,0.15
209,0.34,0.8
210,0.41,0.15
211,0.33,0.81
212,0.41,0.76
213,0.38,0.93
214,0.4,0.77
215,0.47,0.16
216,0.47,0.08
217,0.51,0.85
218,0.37,0.12
219,0.52,0.03
220,0.37,0.87
221,0.39,0.18
222,0.44,0.16
223,0.46,0.91
224,0.58,0.77
225,0.45,0.78
226,0.5,0.15
227,0.33,0.86
228,0.27,0.08
229,0.28,0.19
230,0.37,0.13
231,0.31,0.17
232,0.57,0.2
233,0.36,0.12
234,0.22,0.13
235,0.43,0.15
236,0.4,0.17
237,0.47,0.12
238,0.39,0.26
239,0.43,0.16
240,0.45,0.7
241,0.31,0.19
242,0.27,0.06
243,0.32,0.1
244,0.41,0.12
245,0.43,0.25
246,0.46,0.17
247,0.68,0.6
248,0.66,0.29
249,0.2,0.7
250,0.2,0.34
251,0.2,0.48
252,0.79,0.55
253,0.07,0.52
254,0.12,0.4
255,0.8,0.45
256,0.17,0.61
257,0.71,0.48
258,0.1,0.62
259,0.83,0.33
260,0.69,0.53
261,0.16,0.25
262,0.84,0.16
263,0.14,0.69
264,0.13,0.4
265,0.74,0.32
266,0.11,0.55
267,0.08,0.62
268,0.79,0.65
269,0.76,0.49
270,0.12,0.46
271,0.72,0.38
272,0.77,0.25
273,0.09,0.44
274,0.85,0.16
275,0.1,0.67
276,0.74,0.41
277,0.07,0.62
278,0.73,0.28
279,0.83,0.2
280,0.2,0.4
281,0.29,0.13
282,0.23,0.74
283,0.53,0.79
284,0.48,0.88
285,0.22,0.85
286,0.26,0.13
287,0.34,0.1
288,0.17,0.81
289,0.41,0.76
290,0.33,0.06
291,0.33,0.18
292,0.32,0.93
293,0.4,0.04
294,0.38,0.68
295,0.18,0.14
296,0.55,0.13
297,0.44,0.69
298,0.26,0.08
299,0.21,0.13
300,0.36,0.11
301,0.21,0.75
302,0.13,0.06
303,0.43,0.14
304,0.32,0.13
305,0.53,0.73
306,0.18,0.11
307,0.3,0.16
308,0.33,0.93
309,0.5,0.75
310,0.36,0.21
311,0.2,0.16
312,0.39,0.08
313,0.19,0.17
314,0.38,0.27
315,0.38,0.19
316,0.47,0.13
317,0.38,0.15
318,0.08,0.11
319,0.51,0.79
320,0.47,0.27
321,0.46,0.2
322,0.25,0.69
323,0.22,0.15
324,0.32,0.89
325,0.38,0.27
326,0.16,0.19
327,0.4,0.13
328,0.34,0.91
329,0.16,0.08
330,0.19,0.11
331,0.31,0.1
332,0.43,0.9
333,0.39,0.76
334,0.36,0.17
335,0.47,0.24
336,0.56,0.91
337,0.18,0.15
338,0.43,0.82
339,0.38,0.9
340,0.37,0.87
341,0.26,0.73
342,0.24,0.71
343,0.25,0.78
344,0.2,0.5
345,0.8,0.45
346,0.11,0.61
347,0.1,0.83
348,0.17,0.71
349,0.17,0.27
350,0.18,0.45
351,0.73,0.5
352,0.81,0.47
